Entity,Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,ALB,2.75707,2.66869,2.81234,2.53477,2.35697,2.32137,2.32641,2.44379,2.63697,2.83579,3.08301,3.54724,2.5657,3.02029,3.77704,5.56238
Algeria,DZA,0.77914,1.01034,0.95513,0.82206,0.87226,1.00661,1.03,1.15092,1.28468,1.37483,1.39329,1.38079,0.60856,0.81195,1.08616,1.39349
Antigua and Barbuda,ATG,4.712055818,4.185711803,5.294206892,10.53691,10.22042,10.67817,10.93971,11.28182,11.3816,10.83745,10.69594,10.63667,7.52403,9.73113,11.70779,5.467563571
Argentina,ARG,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,1.91767,1.98626,1.83979,1.77327,0.88322,0.84015,1.68395,5.467563571
Aruba,ABW,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,19.9,21.1,21.6,21.2,21.2,5.345202396,5.319666481,3.228999885,3.116688451,4.851623621,5.467563571
Australia,AUS,2.7,2.8,2.6,2.6,2.6,2.5,2.7,2.9,2.9,2.9,3.1,2.4,1.5,1.6,2.8,2.9
Austria,AUT,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.19838,5.33122,3.36035,2.6604,4.851623621,5.467563571
Azerbaijan,AZE,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,3.7,5.542608316,5.345202396,5.319666481,3.228999885,3.116688451,2.22808,3.73161
Bahamas,BHS,4.712055818,4.185711803,5.294206892,5.381938767,15.16544,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,5.319666481,3.228999885,3.116688451,4.851623621,5.467563571
Bahrain,BHR,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.17559,6.89328,6.93861,5.78345,6.21983,1.46388,3.03483,5.64767,7.13505
Bangladesh,BGD,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,3.02,3.228999885,3.116688451,4.851623621,5.467563571
